,PP01,P_Occurrence,TX01
2001-01-01,0.0,1,14.38688027905249
2001-01-02,0.09882195278447499,1,16.50563664022138
2001-01-03,2.4497587899202085,1,15.565627637771563
2001-01-04,0.1423431713730121,1,15.671151204880314
2001-01-05,0.0,0,16.382616002928327
2001-01-06,0.0,0,17.580824594512404
2001-01-07,0.0,0,17.060985647707902
2001-01-08,0.0,0,16.155492504183993
2001-01-09,0.0,0,16.336255878932985
2001-01-10,0.731234249652217,1,12.166684622614092
2001-01-11,1.8246310315508523,1,11.793964638831733
2001-01-12,0.7967308577956502,1,11.853439175935822
2001-01-13,6.820196914557623,1,14.737672108998686
2001-01-14,0.3491771735642913,1,13.408052860728317
2001-01-15,0.418428745447437,1,15.51669764882283
2001-01-16,2.2567910246450906,1,18.761511748249262
2001-01-17,11.727374678816352,1,17.236178737357626
2001-01-18,0.2722696177879352,1,15.085434019133361
2001-01-19,0.0516275127923811,1,12.602294325974762
2001-01-20,3.0138670337798,1,14.938776582909172
2001-01-21,0.050703775700864304,1,14.190607350857544
2001-01-22,0.041096514198934675,1,17.314620386467304
2001-01-23,0.8552853946551335,1,18.383437193126927
2001-01-24,0.9176990432370133,1,18.137494881931936
2001-01-25,1.1445673430767174,1,15.449931801608063
2001-01-26,1.2554220554078557,1,15.061830449670696
2001-01-27,0.19476380366260035,1,16.681534770932608
2001-01-28,15.662010795279178,1,15.00924080050779
2001-01-29,0.0,0,16.758784008467245
2001-01-30,0.0,0,16.560736316905054
2001-01-31,0.0,0,16.374030031175167
2001-02-01,0.07914038150120906,1,16.568029876432416
2001-02-02,20.07133782003501,1,13.84067439374875
2001-02-03,0.03495952492474129,1,14.041662690373714
2001-02-04,0.0,0,15.50324471402614
2001-02-05,0.30421404655350365,1,13.05572505725069
2001-02-06,7.493646062519873,1,12.816586798400492
2001-02-07,0.06647743390196244,1,12.241800686468121
2001-02-08,0.0,0,16.371198583090475
2001-02-09,0.0,0,16.681691849318057
2001-02-10,0.0,0,13.212688212003217
2001-02-11,1.4692868107809325,1,9.075622941907948
2001-02-12,0.5027783869704874,1,14.30226872118476
2001-02-13,0.1243975666887622,1,15.674906584291403
2001-02-14,0.0,0,18.4479232199139
2001-02-15,0.0,0,17.252368541643786
2001-02-16,8.114360043996173,1,17.75084755953624
2001-02-17,1.0659692533331764,1,16.527053686519416
2001-02-18,0.18885370923346517,1,15.647739756144865
2001-02-19,1.0240588843333545,1,16.654324304616033
2001-02-20,2.115853421723344,1,15.998813868276567
2001-02-21,0.0,0,16.503538758738227
2001-02-22,0.24576025696651957,1,15.090781988153674
2001-02-23,0.0,0,17.362776945007607
2001-02-24,0.0,0,17.420514270056987
2001-02-25,0.0,0,20.71524690220536
2001-02-26,0.0,0,20.104139140698475
2001-02-27,0.5332222654529253,1,19.218314869246523
2001-02-28,9.366116297060138,1,16.53685109836173
2001-03-01,0.4481936205120765,1,15.043922570330455
2001-03-02,43.254140302264425,1,17.17920881794801
